fecha,cod_ine,ccaa,ia14d
2020-07-17,09,Cataluña,63.01
2020-07-17,18,Ceuta,1.18
2020-07-17,10,C. Valenciana,5.46
2020-07-17,11,Extremadura,18.36
2020-07-17,12,Galicia,8.45
2020-07-17,13,Madrid,9.81
2020-07-17,19,Melilla,3.47
2020-07-17,14,Murcia,5.76
2020-07-17,15,Navarra,35.31
2020-07-17,16,País Vasco,16.12
2020-07-17,17,La Rioja,10.42
2020-07-17,00,España,19.64
2020-07-20,01,Andalucía,8.33
2020-07-20,02,Aragón,160.09
2020-07-20,03,Asturias,0.98
2020-07-20,04,Baleares,6.61
2020-07-20,05,Canarias,5.11
2020-07-20,06,Cantabria,6.02
2020-07-20,08,Castilla La Mancha,11.51
2020-07-20,07,Castilla y León,6.92
2020-07-20,09,Cataluña,84.48
2020-07-20,18,Ceuta,1.18
2020-07-20,10,C. Valenciana,8.17
2020-07-20,11,Extremadura,18.92
2020-07-20,12,Galicia,6.41
2020-07-20,13,Madrid,12.14
2020-07-20,19,Melilla,3.47
2020-07-20,14,Murcia,8.90
2020-07-20,15,Navarra,60.22
2020-07-20,16,País Vasco,35.47
2020-07-20,17,La Rioja,13.89
2020-07-20,00,España,27.39
2020-07-21,01,Andalucía,9.13
2020-07-21,02,Aragón,172.52
2020-07-21,03,Asturias,1.17
2020-07-21,04,Baleares,6.96
2020-07-21,05,Canarias,5.11
2020-07-21,06,Cantabria,6.37
2020-07-21,08,Castilla La Mancha,11.17
2020-07-21,07,Castilla y León,8.42
2020-07-21,09,Cataluña,89.03
2020-07-21,18,Ceuta,1.18
2020-07-21,10,C. Valenciana,9.47
2020-07-21,11,Extremadura,19.95
2020-07-21,12,Galicia,6.67
2020-07-21,13,Madrid,13.81
2020-07-21,19,Melilla,3.47
2020-07-21,14,Murcia,9.51
2020-07-21,15,Navarra,71.84
2020-07-21,16,País Vasco,37.96
2020-07-21,17,La Rioja,15.78
2020-07-21,00,España,29.42
2020-07-22,01,Andalucía,10.10
2020-07-22,02,Aragón,192.60
2020-07-22,03,Asturias,1.17
2020-07-22,04,Baleares,7.13
2020-07-22,05,Canarias,5.62
2020-07-22,06,Cantabria,6.54
2020-07-22,08,Castilla La Mancha,12.40
2020-07-22,07,Castilla y León,8.63
2020-07-22,09,Cataluña,89.51
2020-07-22,18,Ceuta,1.18
2020-07-22,10,C. Valenciana,10.17
2020-07-22,11,Extremadura,20.60
2020-07-22,12,Galicia,4.67
2020-07-22,13,Madrid,14.42
2020-07-22,19,Melilla,3.47
2020-07-22,14,Murcia,10.98
2020-07-22,15,Navarra,91.41
2020-07-22,16,País Vasco,40.36
2020-07-22,17,La Rioja,23.36
2020-07-22,00,España,30.88
2020-07-23,01,Andalucía,10.15
2020-07-23,02,Aragón,220.12
2020-07-23,03,Asturias,1.56
2020-07-23,04,Baleares,7.13
2020-07-23,05,Canarias,5.62
2020-07-23,06,Cantabria,7.06
2020-07-23,08,Castilla La Mancha,12.59
2020-07-23,07,Castilla y León,9.17
2020-07-23,09,Cataluña,103.62
2020-07-23,18,Ceuta,1.18
2020-07-23,10,C. Valenciana,11.49
2020-07-23,11,Extremadura,20.32
2020-07-23,12,Galicia,5.22
2020-07-23,13,Madrid,16.69
2020-07-23,19,Melilla,3.47
2020-07-23,14,Murcia,10.44
2020-07-23,15,Navarra,100.58
2020-07-23,16,País Vasco,45.97
2020-07-23,17,La Rioja,26.83
2020-07-23,00,España,34.90
2020-07-24,01,Andalucía,11.01
2020-07-24,02,Aragón,237.86
2020-07-24,03,Asturias,1.66
2020-07-24,04,Baleares,8.00
2020-07-24,05,Canarias,5.80
2020-07-24,06,Cantabria,8.60
2020-07-24,08,Castilla La Mancha,12.64
2020-07-24,07,Castilla y León,10.04
2020-07-24,09,Cataluña,111.57
