Fecha publicación,CCAA,Vacunados ≥80 años,Población ≥80 años,% ≥80 años,Vacunados 70-79 años,Población 70-79 años,% 70-79 años,Vacunados 60-69 años,Población 60-69 años,% 60-69 años,Vacunados 50-59 años,Población 50-59 años,% 50-59 años,Vacunados 25-49 años,Población 25-49 años,% 25-49 años,Vacunados 18-24 años,Población 18-24 años,% 18-24 años,Vacunados 16-17 años,Población 16-17 años,% 16-17 años,Vacunados total,Población total a vacunar,% total vacunada
2021-05-18,País Vasco,155.770,157.950,"98,6",110.279,213.081,"51,8",16.825,280.119,"6,0",25.437,339.977,"7,5",41.040,724.849,"5,7",3.852,140.323,"2,7",13,41.824,"0,0",353.216,1.898.123,"18,6"
2021-05-18,Ceuta,2.243,2.605,"86,1",3.395,4.318,"78,6",1.011,7.857,"12,9",684,11.556,"5,9",994,30.066,"3,3",82,7.581,"1,1",3,2.175,"0,1",8.412,66.158,"12,7"
2021-05-18,Melilla,1.751,2.349,"74,5",2.718,3.748,"72,5",1.427,7.827,"18,2",635,11.299,"5,6",957,30.095,"3,2",84,8.536,"1,0",6,2.324,"0,3",7.578,66.178,"11,5"
2021-05-18,FF.AA.,3,-,-,4,-,-,625,-,-,1.649,-,-,6.770,-,-,519,-,-,0,-,-,9.570,-,-
2021-05-18,España,2.804.284,2.834.024,"99,0",2.657.674,3.960.045,"67,1",412.341,5.336.986,"7,7",501.217,7.033.306,"7,1",862.311,16.706.113,"5,2",84.070,3.310.299,"2,5",1.529,949.049,"0,2",7.323.426,40.129.822,"18,2"
2021-05-19,Andalucía,416.829,413.516,"100,0",528.779,650.381,"81,3",67.683,916.147,"7,4",86.926,1.265.021,"6,9",157.042,3.009.381,"5,2",15.078,625.846,"2,4",318,181.921,"0,2",1.272.655,7.062.213,"18,0"
2021-05-19,Aragón,97.453,98.807,"98,6",91.169,118.955,"76,6",19.803,156.367,"12,7",15.468,198.266,"7,8",23.268,446.083,"5,2",1.582,89.180,"1,8",31,25.106,"0,1",248.774,1.132.764,"22,0"
2021-05-19,Asturias,85.493,87.826,"97,3",85.968,109.249,"78,7",13.932,149.652,"9,3",19.270,162.645,"11,8",31.593,322.095,"9,8",3.404,54.179,"6,3",35,15.563,"0,2",239.695,901.209,"26,6"
2021-05-19,Baleares,48.155,49.542,"97,2",54.460,80.516,"67,6",6.105,117.231,"5,2",8.592,165.797,"5,2",19.025,464.054,"4,1",1.388,85.839,"1,6",32,23.300,"0,1",137.757,986.279,"14,0"
2021-05-19,Canarias,84.211,90.236,"93,3",110.051,154.531,"71,2",18.238,235.092,"7,8",22.965,350.512,"6,6",38.622,832.411,"4,6",2.805,163.899,"1,7",47,44.352,"0,1",276.939,1.871.033,"14,8"
2021-05-19,Cantabria,41.016,41.042,"99,9",39.154,53.066,"73,8",4.767,77.345,"6,2",6.665,89.964,"7,4",12.145,194.241,"6,3",712,34.935,"2,0",5,10.791,"0,0",104.464,501.384,"20,8"
2021-05-19,Castilla y León,222.830,223.657,"99,6",192.285,245.410,"78,4",42.771,318.575,"13,4",32.817,381.175,"8,6",45.405,738.950,"6,1",2.973,144.422,"2,1",97,40.684,"0,2",539.178,2.092.873,"25,8"
2021-05-19,Castilla La Mancha,132.610,135.194,"98,1",115.114,159.101,"72,4",16.967,218.444,"7,8",29.274,307.478,"9,5",37.977,707.865,"5,4",4.128,149.518,"2,8",93,42.364,"0,2",336.163,1.719.964,"19,5"
2021-05-19,Cataluña,435.683,447.196,"97,4",358.331,635.292,"56,4",68.675,837.584,"8,2",82.637,1.091.780,"7,6",148.559,2.803.626,"5,3",19.925,556.316,"3,6",329,159.864,"0,2",1.114.139,6.531.658,"17,1"
