NOMBRE,DIRECCION,CIUDAD,PROVINCIA,LATITUD,LONGITUD,COMENTARIO,HORARIO,TELEFONO,BOCADILLOS_BEBIDAS_CALIENTES,COMIDA_PREPARADA,DUCHAS
E.S. GRUPO MAICAS PEIRO SLU,"CR N-234 P.K. 123,50 D",Teruel,Teruel,40.35769096,-1.13619889,,De Lunes a Domingo de 06:00 a 22:00 horas,978611341,SI,SI,SI
M.BELTRAN E HIJOS,CR N-420 P.K. 653.10 D,Utrillas,Teruel,40.8027457,-0.83732367,,De Lunes a Sábado de 07:00 a 22:00 horas; Domingo de 08:00 a 22:00 horas,978758173,SI,,SI
"SUM.PETR.ARGES,S.L.","CR CM-4013 P.K. 6,40 D",Arges,Toledo,39.81325657,-4.05689961,,De Lunes a Domingo de 06:00 a 22:00 horas,925376453,SI,,
E.S. LAS LAGUNAS,"CTRA TO-2516 KM 0,1",Cabañas de la Sagra,Toledo,39.99265513,-3.96415755,,CERRADO NOCHES TODO EL AÑO,925590616,SI,,
"E.S. KARENTO, S.L.",CR A-5 P.K. 162.10 D,Calzada de Oropesa,Toledo,39.89565589,-5.33281116,,ABIERTO 24h.,608241089,SI,,
CRED CAZALEGAS I,CR A-5 P.K. 104.30 I,Cazalegas,Toledo,39.98855492,-4.70347192,,ABIERTO 24h.,925872575,SI,SI,
CRED CAZALEGAS II,CR A-5 P.K. 103.20 D,Cazalegas,Toledo,39.993628,-4.691695,,De Lunes a Domingo de 06:00 a 23:00 horas,925872532,SI,SI,
"TORRES MANCHA,S.L.","CR A-4 P.K. 84,7 I",La Guardia,Toledo,39.76595431,-3.47941685,,ABIERTO 24h.,925123244,SI,,
CRED ILLESCAS,"CR A-42 P.K. 32,80 D",Illescas,Toledo,40.15050262,-3.82442914,,De Lunes a Domingo de 06:00 a 24:00 horas,925513509,SI,SI,
ES HITIGARCA S.L.,"CR CM-4009 (C/STA.LUCIA,S/N) P.K. 32,10",La Puebla de Montalban,Toledo,39.8538612,-4.36093384,,De Lunes a Viernes de 06:30 a 21:30 horas; Sábado de 07:00 a 21:30 horas; Domingo de 07:30 a 21:30 horas,925750758,SI,SI,
E.S. CRED MORA M.D.,"CR CM-42 P.K. 21,3 D",Mascaraque,Toledo,39.69320061,-3.83567864,,De Lunes a Domingo de 06:00 a 22:00 horas,925340510,SI,SI,
G.VAQUERO CRUCHET,"CR M-610 P.K. 6,70 I",Mentrida,Toledo,40.2425079,-4.18904314,,ABIERTO 24h.,918178744,SI,SI,
"ES EL CARMEN NAVAHERMOSA, SL",CR CM-401 P.K. 47 I,Navahermosa,Toledo,39.63908079,-4.46302294,,De Lunes a Domingo de 07:00 a 22:00 horas,925410092,SI,,
E.S. DE PANTOJA,"CR CM-4004 P.K. 29,90 I",Pantoja,Toledo,40.05154458,-3.83690723,,ABIERTO 24h.,925554280,SI,,
CRED SESEÑA M.DCHO,"CR A-4 P.K. 36,50 D",Seseña,Toledo,40.10487916,-3.64589433,,De Lunes a Domingo de 06:00 a 22:00 horas,918936275,SI,SI,
CRED SESEÑA M.IZDO,"CR A-4 P.K. 36,50 I",Seseña,Toledo,40.10511394,-3.64508507,,De Lunes a Domingo de 06:00 a 22:00 horas,918012303,SI,SI,
E.S. DAVIDIGA SL,"CL CALERA, 100",Talavera de la Reina,Toledo,39.95335368,-4.84760067,,De Lunes a Domingo de 06:00 a 22:00 horas,925806776,SI,,
E.S HITIGARCA SL,"CR CM-4000 P.K. 2,65 D",Toledo,Toledo,39.8635697,-4.07261927,,De Lunes a Domingo de 07:00 a 22:00 horas,925251243,SI,,
ES GASOLEOS CHICHARRO S.L.,"CR CM-4011 P.K. 18,00 D",Villamiel de Toledo,Toledo,39.9817857,-4.13777017,,De Lunes a Domingo de 07:00 a 22:00 horas,696195285,SI,,
"NOLASCO, S.L.","CR CV-60 P.K. 35,00 D",Ador-palma de Gandia,Valencia,38.93423131,-0.21156837,,De Lunes a Domingo de 06:00 a 22:00 horas,962808704,SI,,
E.S. J.V. TORRES SANCHIS E HIJOS S.,"CR C-3324 (CV-550) PK 1,40 D SALIDA 38",Alberic,Valencia,39.12968581,-0.50810475,,De Lunes a Domingo de 06:00 a 22:00 horas,962442292,SI,SI,SI
E.S. ALZ ALBORACHE,"CR CV-425 P.K. 4,90 D",Alborache,Valencia,39.3920827,-0.78571527,,De Lunes a Domingo de 06:00 a 22:00 horas,962508530,SI,,
CRED ALBORAYA,"CL PARTIDA DE VERA, 98",Alboraya-patacona,Valencia,39.48518902,-0.32960956,,De Lunes a Domingo de 06:00 a 22:00 horas,963565039,SI,SI,
E.S. VALMOTOR II,"CL OVIDI I MONTLLOR, 18",Aldaya,Valencia,39.47131933,-0.46533465,,De Lunes a Viernes de 07:00 a 21:00 horas; Sábado de 08:00 a 20:00 horas,961988334,SI,,
"ES SAFOR ESTACIONES, S.L.","CR CV-60 P.K. 29,00 I",Almiserat,Valencia,38.922686,-0.26942315,,De Lunes a Domingo de 06:00 a 21:00 horas,962835218,SI,,
ES FOOTWORK S.L.,"CR N-332 P.K. 218,00 D",Alqueria de la Conde,Valencia,38.93963228,-0.15235215,,De Lunes a Viernes de 06:00 a 20:00 horas; Festivo de 08:00 a 18:00 horas,962893712,SI,SI,
E.S. MEDINA Y VALERO,CL VIRGEN DEL ROSARIO S.N.,Ayora,Valencia,39.05963204,-1.05333946,,De Lunes a Domingo de 06:00 a 22:00 horas,962191215,SI,,
ASG BENEIXIDA,CR N-340 PK 855 I,Beneixida,Valencia,39.05934758,-0.54453385,,ABIERTO 24h.,607693042,,,SI
E.S. ALZ BUÑOL,"AT A-3 P.K. 322,00 I",Buñol,Valencia,39.44497727,-0.75520427,,ABIERTO 24h.,962503719,SI,,SI
M Y R CORBERA SL,"CR C-3322 P.K. 40,10 D",Catadau,Valencia,39.27197865,-0.57426113,,De Lunes a Domingo de 06:00 a 22:00 horas,,SI,,
CRED VENTA DEL MORO,"AU A-3 P.K. 266,10 D",Caudete de la Fuentes,Valencia,39.5394361,-1.31160456,,ABIERTO 24h.,679401486,SI,SI,SI
E.S. H. FRIGOLS,"CR VP-3076 P.K. 4,30 D",Chella,Valencia,39.03233081,-0.65501381,,De Lunes a Domingo de 06:00 a 22:00 horas,96222051,SI,,
E.S. INTER-ALFARA SA,"CR CV-35 P.K. 67,90 D",Chelva,Valencia,39.74960195,-0.99217313,,ABIERTO 24h.,962100107,SI,,
CRED CHIVA,"AT A-3 P.K. 337,00 I",Chiva,Valencia,39.47558586,-0.58932182,,ABIERTO 24h.,961982014,SI,SI,
E.S CRED NOVA CULLERA,CL CORBERA S/N BULEVAR DEL XUQUE,Cullera,Valencia,39.15619944,-0.25427147,,De Lunes a Domingo de 06:00 a 22:00 horas,961721523,SI,SI,
