Fecha,Cod_Provincia,Provincia,TOTAL_CAMAS,OCUPADAS_COVID19,OCUPADAS_NO_COVID19,% Pacientes COVID-19,% Pacientes no COVID-19,media_7d_ocupadas_covid,POR_OCUPADAS_TOTAL,media_7d_ocupadas_total
2020-08-14,5,Ávila,15,0,4,0.0,26.67,0.0,177.8,165.0
2020-08-14,50,Zaragoza,161,50,49,31.06,30.43,27.0,38.19,35.0
2020-08-14,51,Ceuta,17,0,1,0.0,5.88,0.0,34.59,74.0
2020-08-14,52,Melilla,12,0,4,0.0,33.33,0.0,277.75,278.0
2020-08-14,6,Badajoz,141,2,28,1.42,19.86,1.0,15.09,17.0
2020-08-14,7,"Balears, Illes",280,19,84,6.79,30.0,6.0,13.14,15.0
2020-08-14,8,Barcelona,838,99,402,11.81,47.97,11.0,7.13,7.0
2020-08-14,9,Burgos,49,2,18,4.08,36.73,4.0,83.29,79.0
2020-08-15,1,Araba/Álava,58,3,24,5.17,41.38,3.0,80.26,70.0
2020-08-15,10,Cáceres,66,3,18,4.55,27.27,2.0,48.21,49.0
2020-08-15,11,Cádiz,214,7,44,3.27,20.56,2.0,11.14,11.0
2020-08-15,12,Castellón/Castelló,75,0,20,0.0,26.67,0.0,35.56,38.0
2020-08-15,13,Ciudad Real,79,3,28,3.8,35.44,4.0,49.67,50.0
2020-08-15,14,Córdoba,162,2,41,1.23,25.31,2.0,16.38,19.0
2020-08-15,15,"Coruña, A",320,0,73,0.0,22.81,0.0,7.13,8.0
2020-08-15,16,Cuenca,41,0,5,0.0,12.2,0.0,29.76,35.0
2020-08-15,17,Girona,53,9,32,16.98,60.38,20.0,145.96,160.0
2020-08-15,18,Granada,170,3,64,1.76,37.65,1.0,23.18,23.0
2020-08-15,19,Guadalajara,48,1,10,2.08,20.83,2.0,47.73,46.0
2020-08-15,2,Albacete,67,4,33,5.97,49.25,6.0,82.42,79.0
2020-08-15,20,Gipuzkoa,85,2,43,2.35,50.59,2.0,62.28,58.0
2020-08-15,21,Huelva,76,1,26,1.32,34.21,1.0,46.75,47.0
2020-08-15,22,Huesca,25,7,5,28.0,20.0,27.0,192.0,183.0
2020-08-15,23,Jaén,131,5,20,3.82,15.27,2.0,14.57,16.0
2020-08-15,24,León,65,0,30,0.0,46.15,1.0,71.0,73.0
2020-08-15,25,Lleida,53,17,25,32.08,47.17,31.0,149.53,153.0
